사용월,호선명,지하철역,04시_승차,05시_승차,06시_승차,07시_승차,08시_승차,09시_승차,10시_승차,11시_승차,12시_승차,13시_승차,14시_승차,15시_승차,16시_승차,17시_승차,18시_승차,19시_승차,20시_승차,21시_승차,22시_승차,23시_승차,00시_승차,01시_승차,02시_승차,03시_승차
202302,2호선,방배,1,2204,8276,19277,28863,23508,17662,18979,20470,21969,22829,24795,29809,39217,60652,27107,19291,18739,14615,6185,1043,0,0,0
202302,2호선,봉천,47,13542,25295,75665,116314,71366,38788,31742,34538,33760,29196,27771,29495,29120,31626,19240,15635,13825,10609,4816,937,1,0,0
202302,2호선,사당,74,11299,24270,68374,92291,73104,46848,42779,49282,51211,57226,60011,62441,74349,91684,64188,61534,67582,66279,36251,5786,2,0,0
202302,2호선,삼성(무역센터),136,4341,6479,12346,17387,18889,21775,32558,41553,57081,72224,94831,121671,208768,307149,155867,115935,100797,62278,19348,2558,1,0,0
202302,2호선,상왕십리,34,5062,12234,36184,60404,34325,20252,19179,19716,19337,17942,18136,19881,23896,26178,17365,11498,10046,7168,3019,443,0,0,0
202302,2호선,서울대입구(관악구청),4144,25221,37523,116820,169578,117115,66866,57926,62703,67644,60802,59487,66705,73622,84959,51814,43767,46026,41543,22184,3563,0,0,0
202302,2호선,서초,23,1678,7889,16495,26644,26334,20042,26882,25127,32640,34071,41504,43610,70327,95135,44904,30790,29986,20389,6084,901,0,0,0
202302,2호선,선릉,87,4531,9777,18022,30135,29486,32601,42779,51656,60082,71853,90319,115261,187001,290677,145601,93336,88227,71433,27275,4248,1,0,0
202302,2호선,성수,45,4923,8458,20015,29012,22825,20385,23685,28998,36105,43378,53463,70643,127988,240503,115673,80581,74647,53936,22363,3422,4,0,0
202302,2호선,시청,73,835,1676,4870,7318,10401,14573,20866,20573,25735,30981,38131,46144,92605,165233,58347,44232,40817,25357,10299,1286,1,0,0
202302,2호선,신답,6,1177,1705,6003,10885,4686,2359,2031,2163,2009,1774,1725,1928,2065,2279,1113,576,470,448,146,33,0,0,0
202302,2호선,신당,26,5608,9694,25252,43985,25851,17531,17315,20120,21037,21209,22353,25273,28737,31845,21777,17029,15507,13904,7006,1201,0,0,0
202302,2호선,신대방,175,21353,30475,80980,124924,77271,42309,34995,35245,33239,29490,27892,29857,31523,32492,19682,14570,11955,9292,4721,891,0,0,0
202302,2호선,신도림,3358,30223,46510,126849,137622,83996,57510,57792,63959,66325,69160,73420,80818,98953,120986,71307,59105,62762,51885,21473,2581,6,0,0
202302,2호선,신림,187,34559,63021,173198,257903,158972,86461,71729,75542,72610,67888,66078,71133,74298,78144,52458,44306,43736,38780,23731,4634,5,0,0
202302,2호선,신설동,55,1545,1380,4300,7872,4588,3749,4896,5936,6889,7969,8863,9506,10990,13008,4457,2983,2593,1764,690,120,0,0,0
202302,2호선,신정네거리,55,7485,16691,45851,42812,23307,16786,14742,15367,14362,12562,11359,12587,12709,11709,7179,5108,4462,3447,1389,291,1,0,0
202302,2호선,신촌,49,6373,12792,33510,51061,36320,33988,41076,52819,56993,58614,67915,76796,90386,90772,64266,66698,69137,68138,34413,5352,2,0,0
